frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
313,N/A,N/A,0.220,1000.503,1.017,N/A,N/A,0.218,1009.328
314,N/A,N/A,0.232,948.799,0.962,N/A,N/A,0.222,990.402
315,N/A,N/A,0.253,868.842,0.957,N/A,N/A,0.225,974.656
316,N/A,N/A,0.272,807.533,0.993,N/A,N/A,0.215,1021.338
317,N/A,N/A,0.276,794.729,0.925,N/A,N/A,0.222,991.689
318,N/A,N/A,0.273,804.035,0.991,N/A,N/A,0.159,1381.580
319,N/A,N/A,0.273,805.638,0.922,N/A,N/A,0.177,1243.247
320,N/A,N/A,0.268,819.093,0.918,N/A,N/A,0.279,787.889
321,N/A,N/A,0.227,967.515,0.919,N/A,N/A,0.170,1289.233
322,N/A,N/A,0.241,912.365,0.919,N/A,N/A,0.159,1378.806
323,N/A,N/A,0.261,842.717,0.923,N/A,N/A,0.198,1106.957
324,N/A,N/A,0.267,822.724,0.974,N/A,N/A,0.161,1365.915
325,N/A,N/A,0.660,333.016,1.056,N/A,N/A,0.187,1174.757
326,N/A,N/A,0.220,997.886,0.938,N/A,N/A,0.172,1276.767
327,N/A,N/A,0.221,994.994,0.902,N/A,N/A,0.224,978.825
328,N/A,N/A,0.253,867.744,0.992,N/A,N/A,0.214,1024.538
329,N/A,N/A,0.268,819.191,0.922,N/A,N/A,0.174,1260.131
330,N/A,N/A,0.260,845.206,0.913,N/A,N/A,0.246,892.211
331,N/A,N/A,0.258,852.235,1.019,N/A,N/A,0.203,1082.184
332,N/A,N/A,0.257,853.400,0.984,N/A,N/A,0.155,1418.982
333,N/A,N/A,0.270,814.043,0.924,N/A,N/A,0.222,990.259
334,N/A,N/A,0.277,792.161,0.992,N/A,N/A,0.264,833.105
335,N/A,N/A,0.245,896.755,0.921,N/A,N/A,0.197,1113.419
